major_field,time_to_degree,year,md_years
All fields,Since bachelor's,1991,10.5
All fields,Since starting graduate school,1991,8.700000000000001
All fields,Since starting doctoral program,1991,NA
Life sciences,Since bachelor's,1991,9.200000000000001
Life sciences,Since starting graduate school,1991,7.7
Life sciences,Since starting doctoral program,1991,NA
Physical sciences and earth sciences,Since bachelor's,1991,7.6
Physical sciences and earth sciences,Since starting graduate school,1991,6.7
Physical sciences and earth sciences,Since starting doctoral program,1991,NA
Mathematics and computer sciences,Since bachelor's,1991,8.6
Mathematics and computer sciences,Since starting graduate school,1991,7.2
Mathematics and computer sciences,Since starting doctoral program,1991,NA
Psychology and social sciences,Since bachelor's,1991,10.7
Psychology and social sciences,Since starting graduate school,1991,8.700000000000001
Psychology and social sciences,Since starting doctoral program,1991,NA
Engineering,Since bachelor's,1991,8.6
Engineering,Since starting graduate school,1991,6.9
Engineering,Since starting doctoral program,1991,NA
Education,Since bachelor's,1991,18.5
Education,Since starting graduate school,1991,15.2
Education,Since starting doctoral program,1991,NA
Humanities and arts,Since bachelor's,1991,12.6
Humanities and arts,Since starting graduate school,1991,10.7
Humanities and arts,Since starting doctoral program,1991,NA
Other,Since bachelor's,1991,13.4
Other,Since starting graduate school,1991,10.7
Other,Since starting doctoral program,1991,NA
Other,Since starting doctoral program,1991,NA
Other,Since starting doctoral program,1991,NA
Other,Since starting doctoral program,1991,NA
Other,Since starting doctoral program,1991,NA
Other,Since starting doctoral program,1991,NA
All fields,Since bachelor's,1996,10.8
All fields,Since starting graduate school,1996,8.700000000000001
All fields,Since starting doctoral program,1996,NA
Life sciences,Since bachelor's,1996,9.6
Life sciences,Since starting graduate school,1996,7.9
Life sciences,Since starting doctoral program,1996,NA
Physical sciences and earth sciences,Since bachelor's,1996,8
Physical sciences and earth sciences,Since starting graduate school,1996,6.8
Physical sciences and earth sciences,Since starting doctoral program,1996,NA
Mathematics and computer sciences,Since bachelor's,1996,9.200000000000001
Mathematics and computer sciences,Since starting graduate school,1996,7.7
Mathematics and computer sciences,Since starting doctoral program,1996,NA
Psychology and social sciences,Since bachelor's,1996,10.3
Psychology and social sciences,Since starting graduate school,1996,8.200000000000001
Psychology and social sciences,Since starting doctoral program,1996,NA
Engineering,Since bachelor's,1996,9
Engineering,Since starting graduate school,1996,7.2
Engineering,Since starting doctoral program,1996,NA
Education,Since bachelor's,1996,20.3
Education,Since starting graduate school,1996,15.9
Education,Since starting doctoral program,1996,NA
Humanities and arts,Since bachelor's,1996,12
Humanities and arts,Since starting graduate school,1996,9.9
Humanities and arts,Since starting doctoral program,1996,NA
Other,Since bachelor's,1996,13.5
Other,Since starting graduate school,1996,10.200000000000001
Other,Since starting doctoral program,1996,NA
Other,Since starting doctoral program,1996,NA
Other,Since starting doctoral program,1996,NA
Other,Since starting doctoral program,1996,NA
Other,Since starting doctoral program,1996,NA
Other,Since starting doctoral program,1996,NA
All fields,Since bachelor's,2001,10.200000000000001
All fields,Since starting graduate school,2001,8.3
All fields,Since starting doctoral program,2001,NA
Life sciences,Since bachelor's,2001,9
Life sciences,Since starting graduate school,2001,7.3
Life sciences,Since starting doctoral program,2001,NA
Physical sciences and earth sciences,Since bachelor's,2001,7.5
Physical sciences and earth sciences,Since starting graduate school,2001,6.6
Physical sciences and earth sciences,Since starting doctoral program,2001,NA
Mathematics and computer sciences,Since bachelor's,2001,8.5
Mathematics and computer sciences,Since starting graduate school,2001,7.2
Mathematics and computer sciences,Since starting doctoral program,2001,NA
Psychology and social sciences,Since bachelor's,2001,9.9
Psychology and social sciences,Since starting graduate school,2001,7.9
Psychology and social sciences,Since starting doctoral program,2001,NA
Engineering,Since bachelor's,2001,8.4
Engineering,Since starting graduate school,2001,7.1
Engineering,Since starting doctoral program,2001,NA
Education,Since bachelor's,2001,19
Education,Since starting graduate school,2001,13.9
Education,Since starting doctoral program,2001,NA
Humanities and arts,Since bachelor's,2001,11.6
Humanities and arts,Since starting graduate school,2001,9.700000000000001
Humanities and arts,Since starting doctoral program,2001,NA
Other,Since bachelor's,2001,13.6
Other,Since starting graduate school,2001,10.7
Other,Since starting doctoral program,2001,NA
Other,Since starting doctoral program,2001,NA
Other,Since starting doctoral program,2001,NA
Other,Since starting doctoral program,2001,NA
Other,Since starting doctoral program,2001,NA
Other,Since starting doctoral program,2001,NA
All fields,Since bachelor's,2006,9.6
All fields,Since starting graduate school,2006,8
All fields,Since starting doctoral program,2006,NA
Life sciences,Since bachelor's,2006,8.6
Life sciences,Since starting graduate school,2006,7
Life sciences,Since starting doctoral program,2006,NA
Physical sciences and earth sciences,Since bachelor's,2006,7.4
Physical sciences and earth sciences,Since starting graduate school,2006,6.5
Physical sciences and earth sciences,Since starting doctoral program,2006,NA
Mathematics and computer sciences,Since bachelor's,2006,8.200000000000001
Mathematics and computer sciences,Since starting graduate school,2006,7.2
Mathematics and computer sciences,Since starting doctoral program,2006,NA
Psychology and social sciences,Since bachelor's,2006,9.8
Psychology and social sciences,Since starting graduate school,2006,8
Psychology and social sciences,Since starting doctoral program,2006,NA
Engineering,Since bachelor's,2006,8.1
Engineering,Since starting graduate school,2006,7
Engineering,Since starting doctoral program,2006,NA
Education,Since bachelor's,2006,16.7
Education,Since starting graduate school,2006,12.7
Education,Since starting doctoral program,2006,NA
Humanities and arts,Since bachelor's,2006,11.6
Humanities and arts,Since starting graduate school,2006,9.700000000000001
Humanities and arts,Since starting doctoral program,2006,NA
Other,Since bachelor's,2006,12.3
Other,Since starting graduate school,2006,9.8
Other,Since starting doctoral program,2006,NA
Other,Since starting doctoral program,2006,NA
Other,Since starting doctoral program,2006,NA
Other,Since starting doctoral program,2006,NA
Other,Since starting doctoral program,2006,NA
Other,Since starting doctoral program,2006,NA
All fields,Since bachelor's,2011,9.1
All fields,Since starting graduate school,2011,7.7
All fields,Since starting doctoral program,2011,NA
Life sciences,Since bachelor's,2011,8.6
Life sciences,Since starting graduate school,2011,6.9
Life sciences,Since starting doctoral program,2011,NA
Physical sciences and earth sciences,Since bachelor's,2011,7.4
Physical sciences and earth sciences,Since starting graduate school,2011,6.6
Physical sciences and earth sciences,Since starting doctoral program,2011,NA
Mathematics and computer sciences,Since bachelor's,2011,7.9
Mathematics and computer sciences,Since starting graduate school,2011,6.9
Mathematics and computer sciences,Since starting doctoral program,2011,NA
Psychology and social sciences,Since bachelor's,2011,9.6
Psychology and social sciences,Since starting graduate school,2011,7.8
Psychology and social sciences,Since starting doctoral program,2011,NA
Engineering,Since bachelor's,2011,7.8
Engineering,Since starting graduate school,2011,6.8
Engineering,Since starting doctoral program,2011,NA
Education,Since bachelor's,2011,15
Education,Since starting graduate school,2011,11.7
Education,Since starting doctoral program,2011,NA
Humanities and arts,Since bachelor's,2011,11.2
Humanities and arts,Since starting graduate school,2011,9.3
Humanities and arts,Since starting doctoral program,2011,NA
Other,Since bachelor's,2011,12
Other,Since starting graduate school,2011,9.3
Other,Since starting doctoral program,2011,NA
Other,Since starting doctoral program,2011,NA
Other,Since starting doctoral program,2011,NA
Other,Since starting doctoral program,2011,NA
Other,Since starting doctoral program,2011,NA
Other,Since starting doctoral program,2011,NA
All fields,Since bachelor's,2016,8.8
All fields,Since starting graduate school,2016,7.3
All fields,Since starting doctoral program,2016,5.7
Life sciences,Since bachelor's,2016,8.2
Life sciences,Since starting graduate school,2016,6.7
Life sciences,Since starting doctoral program,2016,5.7
Physical sciences and earth sciences,Since bachelor's,2016,6.9
Physical sciences and earth sciences,Since starting graduate school,2016,6.1
Physical sciences and earth sciences,Since starting doctoral program,2016,5.7
Mathematics and computer sciences,Since bachelor's,2016,7.9
Mathematics and computer sciences,Since starting graduate school,2016,6.9
Mathematics and computer sciences,Since starting doctoral program,2016,5.7
Psychology and social sciences,Since bachelor's,2016,9.5
Psychology and social sciences,Since starting graduate school,2016,7.9
Psychology and social sciences,Since starting doctoral program,2016,6
Engineering,Since bachelor's,2016,7.3
Engineering,Since starting graduate school,2016,6.5
Engineering,Since starting doctoral program,2016,5.3
Education,Since bachelor's,2016,15
Education,Since starting graduate school,2016,11.7
Education,Since starting doctoral program,2016,6
Humanities and arts,Since bachelor's,2016,11
Humanities and arts,Since starting graduate school,2016,9.3
Humanities and arts,Since starting doctoral program,2016,7
Other,Since bachelor's,2016,11.2
Other,Since starting graduate school,2016,9
Other,Since starting doctoral program,2016,5.3
Other,Since starting doctoral program,2016,NA
Other,Since starting doctoral program,2016,NA
Other,Since starting doctoral program,2016,NA
Other,Since starting doctoral program,2016,NA
Other,Since starting doctoral program,2016,NA
